"original-question","alternative-question","sql"
"Which employees have pending time off requests?","List out the employees with time off requests that are still under review.","SELECT ""t1"".""id"", ""t1"".""employee_id"", ""t1"".""policy_type"", ""t1"".""start_date"", ""t1"".""end_date"", ""t1"".""type"", ""t1"".""status"", ""t1"".""created_at"", ""t1"".""updated_at"", ""t2"".""id"", ""t2"".""updated_at"", ""t2"".""full_name"", ""t2"".""nationality"", ""t2"".""department"", ""t2"".""is_manager"", ""t2"".""location"", ""t2"".""linkedin"", ""t2"".""twitter_x"", ""t2"".""facebook"", ""t2"".""email"", ""t2"".""is_active"", ""t2"".""reports_to_id"", ""t2"".""birth_date"", ""t2"".""client"" FROM ""time_off"" AS ""t1"" INNER JOIN ""employees"" AS ""t2"" ON (""t1"".""employee_id"" = ""t2"".""id"") WHERE ((""t2"".""is_active"" = 1) AND (""t1"".""status"" = 'pending'))"
"Which employees have pending time off requests?","Who are the active employees with pending time off requests?","SELECT ""t1"".""id"", ""t1"".""employee_id"", ""t1"".""policy_type"", ""t1"".""start_date"", ""t1"".""end_date"", ""t1"".""type"", ""t1"".""status"", ""t1"".""created_at"", ""t1"".""updated_at"", ""t2"".""id"", ""t2"".""updated_at"", ""t2"".""full_name"", ""t2"".""nationality"", ""t2"".""department"", ""t2"".""is_manager"", ""t2"".""location"", ""t2"".""linkedin"", ""t2"".""twitter_x"", ""t2"".""facebook"", ""t2"".""email"", ""t2"".""is_active"", ""t2"".""reports_to_id"", ""t2"".""birth_date"", ""t2"".""client"" FROM ""time_off"" AS ""t1"" INNER JOIN ""employees"" AS ""t2"" ON (""t1"".""employee_id"" = ""t2"".""id"") WHERE ((""t2"".""is_active"" = 1) AND (""t1"".""status"" = 'pending'))"
"Which employees have pending time off requests?","Please provide the list of employees with time off requests that are not yet approved.","SELECT ""t1"".""id"", ""t1"".""employee_id"", ""t1"".""policy_type"", ""t1"".""start_date"", ""t1"".""end_date"", ""t1"".""type"", ""t1"".""status"", ""t1"".""created_at"", ""t1"".""updated_at"", ""t2"".""id"", ""t2"".""updated_at"", ""t2"".""full_name"", ""t2"".""nationality"", ""t2"".""department"", ""t2"".""is_manager"", ""t2"".""location"", ""t2"".""linkedin"", ""t2"".""twitter_x"", ""t2"".""facebook"", ""t2"".""email"", ""t2"".""is_active"", ""t2"".""reports_to_id"", ""t2"".""birth_date"", ""t2"".""client"" FROM ""time_off"" AS ""t1"" INNER JOIN ""employees"" AS ""t2"" ON (""t1"".""employee_id"" = ""t2"".""id"") WHERE ((""t2"".""is_active"" = 1) AND (""t1"".""status"" = 'pending'))"
"Which employees have pending time off requests?","Which employees have submitted time off requests that remain unresolved?","SELECT ""t1"".""id"", ""t1"".""employee_id"", ""t1"".""policy_type"", ""t1"".""start_date"", ""t1"".""end_date"", ""t1"".""type"", ""t1"".""status"", ""t1"".""created_at"", ""t1"".""updated_at"", ""t2"".""id"", ""t2"".""updated_at"", ""t2"".""full_name"", ""t2"".""nationality"", ""t2"".""department"", ""t2"".""is_manager"", ""t2"".""location"", ""t2"".""linkedin"", ""t2"".""twitter_x"", ""t2"".""facebook"", ""t2"".""email"", ""t2"".""is_active"", ""t2"".""reports_to_id"", ""t2"".""birth_date"", ""t2"".""client"" FROM ""time_off"" AS ""t1"" INNER JOIN ""employees"" AS ""t2"" ON (""t1"".""employee_id"" = ""t2"".""id"") WHERE ((""t2"".""is_active"" = 1) AND (""t1"".""status"" = 'pending'))"
"Which employees have pending time off requests?","Can you find out which employees have pending time off applications?","SELECT ""t1"".""id"", ""t1"".""employee_id"", ""t1"".""policy_type"", ""t1"".""start_date"", ""t1"".""end_date"", ""t1"".""type"", ""t1"".""status"", ""t1"".""created_at"", ""t1"".""updated_at"", ""t2"".""id"", ""t2"".""updated_at"", ""t2"".""full_name"", ""t2"".""nationality"", ""t2"".""department"", ""t2"".""is_manager"", ""t2"".""location"", ""t2"".""linkedin"", ""t2"".""twitter_x"", ""t2"".""facebook"", ""t2"".""email"", ""t2"".""is_active"", ""t2"".""reports_to_id"", ""t2"".""birth_date"", ""t2"".""client"" FROM ""time_off"" AS ""t1"" INNER JOIN ""employees"" AS ""t2"" ON (""t1"".""employee_id"" = ""t2"".""id"") WHERE ((""t2"".""is_active"" = 1) AND (""t1"".""status"" = 'pending'))"
"Which employees have pending time off requests?","What active employees have time off requests that are still awaiting a decision?","SELECT ""t1"".""id"", ""t1"".""employee_id"", ""t1"".""policy_type"", ""t1"".""start_date"", ""t1"".""end_date"", ""t1"".""type"", ""t1"".""status"", ""t1"".""created_at"", ""t1"".""updated_at"", ""t2"".""id"", ""t2"".""updated_at"", ""t2"".""full_name"", ""t2"".""nationality"", ""t2"".""department"", ""t2"".""is_manager"", ""t2"".""location"", ""t2"".""linkedin"", ""t2"".""twitter_x"", ""t2"".""facebook"", ""t2"".""email"", ""t2"".""is_active"", ""t2"".""reports_to_id"", ""t2"".""birth_date"", ""t2"".""client"" FROM ""time_off"" AS ""t1"" INNER JOIN ""employees"" AS ""t2"" ON (""t1"".""employee_id"" = ""t2"".""id"") WHERE ((""t2"".""is_active"" = 1) AND (""t1"".""status"" = 'pending'))"
"Which employees have pending time off requests?","Identify the active staff members who have pending time off requests.","SELECT ""t1"".""id"", ""t1"".""employee_id"", ""t1"".""policy_type"", ""t1"".""start_date"", ""t1"".""end_date"", ""t1"".""type"", ""t1"".""status"", ""t1"".""created_at"", ""t1"".""updated_at"", ""t2"".""id"", ""t2"".""updated_at"", ""t2"".""full_name"", ""t2"".""nationality"", ""t2"".""department"", ""t2"".""is_manager"", ""t2"".""location"", ""t2"".""linkedin"", ""t2"".""twitter_x"", ""t2"".""facebook"", ""t2"".""email"", ""t2"".""is_active"", ""t2"".""reports_to_id"", ""t2"".""birth_date"", ""t2"".""client"" FROM ""time_off"" AS ""t1"" INNER JOIN ""employees"" AS ""t2"" ON (""t1"".""employee_id"" = ""t2"".""id"") WHERE ((""t2"".""is_active"" = 1) AND (""t1"".""status"" = 'pending'))"
"Who is taking annual leave during the Christmas holidays?","Can you tell me which employees are on annual leave during the Christmas holiday period?","SELECT ""t1"".""id"", ""t1"".""employee_id"", ""t1"".""policy_type"", ""t1"".""start_date"", ""t1"".""end_date"", ""t1"".""type"", ""t1"".""status"", ""t1"".""created_at"", ""t1"".""updated_at"", ""t2"".""id"", ""t2"".""updated_at"", ""t2"".""full_name"", ""t2"".""nationality"", ""t2"".""department"", ""t2"".""is_manager"", ""t2"".""location"", ""t2"".""linkedin"", ""t2"".""twitter_x"", ""t2"".""facebook"", ""t2"".""email"", ""t2"".""is_active"", ""t2"".""reports_to_id"", ""t2"".""birth_date"", ""t2"".""client"" FROM ""time_off"" AS ""t1"" INNER JOIN ""employees"" AS ""t2"" ON (""t1"".""employee_id"" = ""t2"".""id"") WHERE ((((""t2"".""is_active"" = 1) AND (date(""t1"".""start_date"") > date('now'))) AND ((((date(""t1"".""start_date"") >= '2025-12-25') AND (date(""t1"".""start_date"") <= '2025-12-31')) OR ((date(""t1"".""end_date"") >= '2025-12-25') AND (date(""t1"".""end_date"") <= '2025-12-31'))) OR ((date(""t1"".""start_date"") <= '2025-12-25') AND (date(""t1"".""end_date"") >= '2025-12-31')))) AND (LOWER(""t1"".""policy_type"") LIKE '%annual%'))"
"Who is taking annual leave during the Christmas holidays?","List the employees who will be taking annual leave over Christmas.","SELECT ""t1"".""id"", ""t1"".""employee_id"", ""t1"".""policy_type"", ""t1"".""start_date"", ""t1"".""end_date"", ""t1"".""type"", ""t1"".""status"", ""t1"".""created_at"", ""t1"".""updated_at"", ""t2"".""id"", ""t2"".""updated_at"", ""t2"".""full_name"", ""t2"".""nationality"", ""t2"".""department"", ""t2"".""is_manager"", ""t2"".""location"", ""t2"".""linkedin"", ""t2"".""twitter_x"", ""t2"".""facebook"", ""t2"".""email"", ""t2"".""is_active"", ""t2"".""reports_to_id"", ""t2"".""birth_date"", ""t2"".""client"" FROM ""time_off"" AS ""t1"" INNER JOIN ""employees"" AS ""t2"" ON (""t1"".""employee_id"" = ""t2"".""id"") WHERE ((((""t2"".""is_active"" = 1) AND (date(""t1"".""start_date"") > date('now'))) AND ((((date(""t1"".""start_date"") >= '2025-12-25') AND (date(""t1"".""start_date"") <= '2025-12-31')) OR ((date(""t1"".""end_date"") >= '2025-12-25') AND (date(""t1"".""end_date"") <= '2025-12-31'))) OR ((date(""t1"".""start_date"") <= '2025-12-25') AND (date(""t1"".""end_date"") >= '2025-12-31')))) AND (LOWER(""t1"".""policy_type"") LIKE '%annual%'))"
"Who is taking annual leave during the Christmas holidays?","Who are the staff members scheduled for annual leave during the holiday season?","SELECT ""t1"".""id"", ""t1"".""employee_id"", ""t1"".""policy_type"", ""t1"".""start_date"", ""t1"".""end_date"", ""t1"".""type"", ""t1"".""status"", ""t1"".""created_at"", ""t1"".""updated_at"", ""t2"".""id"", ""t2"".""updated_at"", ""t2"".""full_name"", ""t2"".""nationality"", ""t2"".""department"", ""t2"".""is_manager"", ""t2"".""location"", ""t2"".""linkedin"", ""t2"".""twitter_x"", ""t2"".""facebook"", ""t2"".""email"", ""t2"".""is_active"", ""t2"".""reports_to_id"", ""t2"".""birth_date"", ""t2"".""client"" FROM ""time_off"" AS ""t1"" INNER JOIN ""employees"" AS ""t2"" ON (""t1"".""employee_id"" = ""t2"".""id"") WHERE ((((""t2"".""is_active"" = 1) AND (date(""t1"".""start_date"") > date('now'))) AND ((((date(""t1"".""start_date"") >= '2025-12-25') AND (date(""t1"".""start_date"") <= '2025-12-31')) OR ((date(""t1"".""end_date"") >= '2025-12-25') AND (date(""t1"".""end_date"") <= '2025-12-31'))) OR ((date(""t1"".""start_date"") <= '2025-12-25') AND (date(""t1"".""end_date"") >= '2025-12-31')))) AND (LOWER(""t1"".""policy_type"") LIKE '%annual%'))"
"Who is taking annual leave during the Christmas holidays?","Show me the names of people who are on annual leave from December 25 to December 31.","SELECT ""t1"".""id"", ""t1"".""employee_id"", ""t1"".""policy_type"", ""t1"".""start_date"", ""t1"".""end_date"", ""t1"".""type"", ""t1"".""status"", ""t1"".""created_at"", ""t1"".""updated_at"", ""t2"".""id"", ""t2"".""updated_at"", ""t2"".""full_name"", ""t2"".""nationality"", ""t2"".""department"", ""t2"".""is_manager"", ""t2"".""location"", ""t2"".""linkedin"", ""t2"".""twitter_x"", ""t2"".""facebook"", ""t2"".""email"", ""t2"".""is_active"", ""t2"".""reports_to_id"", ""t2"".""birth_date"", ""t2"".""client"" FROM ""time_off"" AS ""t1"" INNER JOIN ""employees"" AS ""t2"" ON (""t1"".""employee_id"" = ""t2"".""id"") WHERE ((((""t2"".""is_active"" = 1) AND (date(""t1"".""start_date"") > date('now'))) AND ((((date(""t1"".""start_date"") >= '2025-12-25') AND (date(""t1"".""start_date"") <= '2025-12-31')) OR ((date(""t1"".""end_date"") >= '2025-12-25') AND (date(""t1"".""end_date"") <= '2025-12-31'))) OR ((date(""t1"".""start_date"") <= '2025-12-25') AND (date(""t1"".""end_date"") >= '2025-12-31')))) AND (LOWER(""t1"".""policy_type"") LIKE '%annual%'))"
"Who is taking annual leave during the Christmas holidays?","Which employees have planned annual leave for the Christmas holidays?","SELECT ""t1"".""id"", ""t1"".""employee_id"", ""t1"".""policy_type"", ""t1"".""start_date"", ""t1"".""end_date"", ""t1"".""type"", ""t1"".""status"", ""t1"".""created_at"", ""t1"".""updated_at"", ""t2"".""id"", ""t2"".""updated_at"", ""t2"".""full_name"", ""t2"".""nationality"", ""t2"".""department"", ""t2"".""is_manager"", ""t2"".""location"", ""t2"".""linkedin"", ""t2"".""twitter_x"", ""t2"".""facebook"", ""t2"".""email"", ""t2"".""is_active"", ""t2"".""reports_to_id"", ""t2"".""birth_date"", ""t2"".""client"" FROM ""time_off"" AS ""t1"" INNER JOIN ""employees"" AS ""t2"" ON (""t1"".""employee_id"" = ""t2"".""id"") WHERE ((((""t2"".""is_active"" = 1) AND (date(""t1"".""start_date"") > date('now'))) AND ((((date(""t1"".""start_date"") >= '2025-12-25') AND (date(""t1"".""start_date"") <= '2025-12-31')) OR ((date(""t1"".""end_date"") >= '2025-12-25') AND (date(""t1"".""end_date"") <= '2025-12-31'))) OR ((date(""t1"".""start_date"") <= '2025-12-25') AND (date(""t1"".""end_date"") >= '2025-12-31')))) AND (LOWER(""t1"".""policy_type"") LIKE '%annual%'))"
"Who is taking annual leave during the Christmas holidays?","Find out who is taking time off for annual leave during Christmas.","SELECT ""t1"".""id"", ""t1"".""employee_id"", ""t1"".""policy_type"", ""t1"".""start_date"", ""t1"".""end_date"", ""t1"".""type"", ""t1"".""status"", ""t1"".""created_at"", ""t1"".""updated_at"", ""t2"".""id"", ""t2"".""updated_at"", ""t2"".""full_name"", ""t2"".""nationality"", ""t2"".""department"", ""t2"".""is_manager"", ""t2"".""location"", ""t2"".""linkedin"", ""t2"".""twitter_x"", ""t2"".""facebook"", ""t2"".""email"", ""t2"".""is_active"", ""t2"".""reports_to_id"", ""t2"".""birth_date"", ""t2"".""client"" FROM ""time_off"" AS ""t1"" INNER JOIN ""employees"" AS ""t2"" ON (""t1"".""employee_id"" = ""t2"".""id"") WHERE ((((""t2"".""is_active"" = 1) AND (date(""t1"".""start_date"") > date('now'))) AND ((((date(""t1"".""start_date"") >= '2025-12-25') AND (date(""t1"".""start_date"") <= '2025-12-31')) OR ((date(""t1"".""end_date"") >= '2025-12-25') AND (date(""t1"".""end_date"") <= '2025-12-31'))) OR ((date(""t1"".""start_date"") <= '2025-12-25') AND (date(""t1"".""end_date"") >= '2025-12-31')))) AND (LOWER(""t1"".""policy_type"") LIKE '%annual%'))"
"Who is taking annual leave during the Christmas holidays?","Who is on vacation for annual leave during the holiday break?","SELECT ""t1"".""id"", ""t1"".""employee_id"", ""t1"".""policy_type"", ""t1"".""start_date"", ""t1"".""end_date"", ""t1"".""type"", ""t1"".""status"", ""t1"".""created_at"", ""t1"".""updated_at"", ""t2"".""id"", ""t2"".""updated_at"", ""t2"".""full_name"", ""t2"".""nationality"", ""t2"".""department"", ""t2"".""is_manager"", ""t2"".""location"", ""t2"".""linkedin"", ""t2"".""twitter_x"", ""t2"".""facebook"", ""t2"".""email"", ""t2"".""is_active"", ""t2"".""reports_to_id"", ""t2"".""birth_date"", ""t2"".""client"" FROM ""time_off"" AS ""t1"" INNER JOIN ""employees"" AS ""t2"" ON (""t1"".""employee_id"" = ""t2"".""id"") WHERE ((((""t2"".""is_active"" = 1) AND (date(""t1"".""start_date"") > date('now'))) AND ((((date(""t1"".""start_date"") >= '2025-12-25') AND (date(""t1"".""start_date"") <= '2025-12-31')) OR ((date(""t1"".""end_date"") >= '2025-12-25') AND (date(""t1"".""end_date"") <= '2025-12-31'))) OR ((date(""t1"".""start_date"") <= '2025-12-25') AND (date(""t1"".""end_date"") >= '2025-12-31')))) AND (LOWER(""t1"".""policy_type"") LIKE '%annual%'))"
"Who is taking annual leave during the Christmas holidays?","I need to know which employees are off on annual leave during the Christmas holidays.","SELECT ""t1"".""id"", ""t1"".""employee_id"", ""t1"".""policy_type"", ""t1"".""start_date"", ""t1"".""end_date"", ""t1"".""type"", ""t1"".""status"", ""t1"".""created_at"", ""t1"".""updated_at"", ""t2"".""id"", ""t2"".""updated_at"", ""t2"".""full_name"", ""t2"".""nationality"", ""t2"".""department"", ""t2"".""is_manager"", ""t2"".""location"", ""t2"".""linkedin"", ""t2"".""twitter_x"", ""t2"".""facebook"", ""t2"".""email"", ""t2"".""is_active"", ""t2"".""reports_to_id"", ""t2"".""birth_date"", ""t2"".""client"" FROM ""time_off"" AS ""t1"" INNER JOIN ""employees"" AS ""t2"" ON (""t1"".""employee_id"" = ""t2"".""id"") WHERE ((((""t2"".""is_active"" = 1) AND (date(""t1"".""start_date"") > date('now'))) AND ((((date(""t1"".""start_date"") >= '2025-12-25') AND (date(""t1"".""start_date"") <= '2025-12-31')) OR ((date(""t1"".""end_date"") >= '2025-12-25') AND (date(""t1"".""end_date"") <= '2025-12-31'))) OR ((date(""t1"".""start_date"") <= '2025-12-25') AND (date(""t1"".""end_date"") >= '2025-12-31')))) AND (LOWER(""t1"".""policy_type"") LIKE '%annual%'))"
"Who is taking annual leave during the Christmas holidays?","Can you provide a list of workers who have annual leave during the Christmas period?","SELECT ""t1"".""id"", ""t1"".""employee_id"", ""t1"".""policy_type"", ""t1"".""start_date"", ""t1"".""end_date"", ""t1"".""type"", ""t1"".""status"", ""t1"".""created_at"", ""t1"".""updated_at"", ""t2"".""id"", ""t2"".""updated_at"", ""t2"".""full_name"", ""t2"".""nationality"", ""t2"".""department"", ""t2"".""is_manager"", ""t2"".""location"", ""t2"".""linkedin"", ""t2"".""twitter_x"", ""t2"".""facebook"", ""t2"".""email"", ""t2"".""is_active"", ""t2"".""reports_to_id"", ""t2"".""birth_date"", ""t2"".""client"" FROM ""time_off"" AS ""t1"" INNER JOIN ""employees"" AS ""t2"" ON (""t1"".""employee_id"" = ""t2"".""id"") WHERE ((((""t2"".""is_active"" = 1) AND (date(""t1"".""start_date"") > date('now'))) AND ((((date(""t1"".""start_date"") >= '2025-12-25') AND (date(""t1"".""start_date"") <= '2025-12-31')) OR ((date(""t1"".""end_date"") >= '2025-12-25') AND (date(""t1"".""end_date"") <= '2025-12-31'))) OR ((date(""t1"".""start_date"") <= '2025-12-25') AND (date(""t1"".""end_date"") >= '2025-12-31')))) AND (LOWER(""t1"".""policy_type"") LIKE '%annual%'))"
"Who is taking annual leave during the Christmas holidays?","Who are the individuals on annual leave in the week of Christmas?","SELECT ""t1"".""id"", ""t1"".""employee_id"", ""t1"".""policy_type"", ""t1"".""start_date"", ""t1"".""end_date"", ""t1"".""type"", ""t1"".""status"", ""t1"".""created_at"", ""t1"".""updated_at"", ""t2"".""id"", ""t2"".""updated_at"", ""t2"".""full_name"", ""t2"".""nationality"", ""t2"".""department"", ""t2"".""is_manager"", ""t2"".""location"", ""t2"".""linkedin"", ""t2"".""twitter_x"", ""t2"".""facebook"", ""t2"".""email"", ""t2"".""is_active"", ""t2"".""reports_to_id"", ""t2"".""birth_date"", ""t2"".""client"" FROM ""time_off"" AS ""t1"" INNER JOIN ""employees"" AS ""t2"" ON (""t1"".""employee_id"" = ""t2"".""id"") WHERE ((((""t2"".""is_active"" = 1) AND (date(""t1"".""start_date"") > date('now'))) AND ((((date(""t1"".""start_date"") >= '2025-12-25') AND (date(""t1"".""start_date"") <= '2025-12-31')) OR ((date(""t1"".""end_date"") >= '2025-12-25') AND (date(""t1"".""end_date"") <= '2025-12-31'))) OR ((date(""t1"".""start_date"") <= '2025-12-25') AND (date(""t1"".""end_date"") >= '2025-12-31')))) AND (LOWER(""t1"".""policy_type"") LIKE '%annual%'))"
"Who is taking annual leave during the Christmas holidays?","Identify the employees taking annual leave around the Christmas holidays.","SELECT ""t1"".""id"", ""t1"".""employee_id"", ""t1"".""policy_type"", ""t1"".""start_date"", ""t1"".""end_date"", ""t1"".""type"", ""t1"".""status"", ""t1"".""created_at"", ""t1"".""updated_at"", ""t2"".""id"", ""t2"".""updated_at"", ""t2"".""full_name"", ""t2"".""nationality"", ""t2"".""department"", ""t2"".""is_manager"", ""t2"".""location"", ""t2"".""linkedin"", ""t2"".""twitter_x"", ""t2"".""facebook"", ""t2"".""email"", ""t2"".""is_active"", ""t2"".""reports_to_id"", ""t2"".""birth_date"", ""t2"".""client"" FROM ""time_off"" AS ""t1"" INNER JOIN ""employees"" AS ""t2"" ON (""t1"".""employee_id"" = ""t2"".""id"") WHERE ((((""t2"".""is_active"" = 1) AND (date(""t1"".""start_date"") > date('now'))) AND ((((date(""t1"".""start_date"") >= '2025-12-25') AND (date(""t1"".""start_date"") <= '2025-12-31')) OR ((date(""t1"".""end_date"") >= '2025-12-25') AND (date(""t1"".""end_date"") <= '2025-12-31'))) OR ((date(""t1"".""start_date"") <= '2025-12-25') AND (date(""t1"".""end_date"") >= '2025-12-31')))) AND (LOWER(""t1"".""policy_type"") LIKE '%annual%'))"
"Who is taking annual leave during the Christmas holidays?","Who is scheduled for time off due to annual leave during the Christmas time frame?","SELECT ""t1"".""id"", ""t1"".""employee_id"", ""t1"".""policy_type"", ""t1"".""start_date"", ""t1"".""end_date"", ""t1"".""type"", ""t1"".""status"", ""t1"".""created_at"", ""t1"".""updated_at"", ""t2"".""id"", ""t2"".""updated_at"", ""t2"".""full_name"", ""t2"".""nationality"", ""t2"".""department"", ""t2"".""is_manager"", ""t2"".""location"", ""t2"".""linkedin"", ""t2"".""twitter_x"", ""t2"".""facebook"", ""t2"".""email"", ""t2"".""is_active"", ""t2"".""reports_to_id"", ""t2"".""birth_date"", ""t2"".""client"" FROM ""time_off"" AS ""t1"" INNER JOIN ""employees"" AS ""t2"" ON (""t1"".""employee_id"" = ""t2"".""id"") WHERE ((((""t2"".""is_active"" = 1) AND (date(""t1"".""start_date"") > date('now'))) AND ((((date(""t1"".""start_date"") >= '2025-12-25') AND (date(""t1"".""start_date"") <= '2025-12-31')) OR ((date(""t1"".""end_date"") >= '2025-12-25') AND (date(""t1"".""end_date"") <= '2025-12-31'))) OR ((date(""t1"".""start_date"") <= '2025-12-25') AND (date(""t1"".""end_date"") >= '2025-12-31')))) AND (LOWER(""t1"".""policy_type"") LIKE '%annual%'))"
"Who is taking annual leave during the Christmas holidays?","What employees are using annual leave during the Christmas holidays?","SELECT ""t1"".""id"", ""t1"".""employee_id"", ""t1"".""policy_type"", ""t1"".""start_date"", ""t1"".""end_date"", ""t1"".""type"", ""t1"".""status"", ""t1"".""created_at"", ""t1"".""updated_at"", ""t2"".""id"", ""t2"".""updated_at"", ""t2"".""full_name"", ""t2"".""nationality"", ""t2"".""department"", ""t2"".""is_manager"", ""t2"".""location"", ""t2"".""linkedin"", ""t2"".""twitter_x"", ""t2"".""facebook"", ""t2"".""email"", ""t2"".""is_active"", ""t2"".""reports_to_id"", ""t2"".""birth_date"", ""t2"".""client"" FROM ""time_off"" AS ""t1"" INNER JOIN ""employees"" AS ""t2"" ON (""t1"".""employee_id"" = ""t2"".""id"") WHERE ((((""t2"".""is_active"" = 1) AND (date(""t1"".""start_date"") > date('now'))) AND ((((date(""t1"".""start_date"") >= '2025-12-25') AND (date(""t1"".""start_date"") <= '2025-12-31')) OR ((date(""t1"".""end_date"") >= '2025-12-25') AND (date(""t1"".""end_date"") <= '2025-12-31'))) OR ((date(""t1"".""start_date"") <= '2025-12-25') AND (date(""t1"".""end_date"") >= '2025-12-31')))) AND (LOWER(""t1"".""policy_type"") LIKE '%annual%'))"
"Who is taking annual leave during the Christmas holidays?","Get me the details of employees on annual leave for the Christmas break.","SELECT ""t1"".""id"", ""t1"".""employee_id"", ""t1"".""policy_type"", ""t1"".""start_date"", ""t1"".""end_date"", ""t1"".""type"", ""t1"".""status"", ""t1"".""created_at"", ""t1"".""updated_at"", ""t2"".""id"", ""t2"".""updated_at"", ""t2"".""full_name"", ""t2"".""nationality"", ""t2"".""department"", ""t2"".""is_manager"", ""t2"".""location"", ""t2"".""linkedin"", ""t2"".""twitter_x"", ""t2"".""facebook"", ""t2"".""email"", ""t2"".""is_active"", ""t2"".""reports_to_id"", ""t2"".""birth_date"", ""t2"".""client"" FROM ""time_off"" AS ""t1"" INNER JOIN ""employees"" AS ""t2"" ON (""t1"".""employee_id"" = ""t2"".""id"") WHERE ((((""t2"".""is_active"" = 1) AND (date(""t1"".""start_date"") > date('now'))) AND ((((date(""t1"".""start_date"") >= '2025-12-25') AND (date(""t1"".""start_date"") <= '2025-12-31')) OR ((date(""t1"".""end_date"") >= '2025-12-25') AND (date(""t1"".""end_date"") <= '2025-12-31'))) OR ((date(""t1"".""start_date"") <= '2025-12-25') AND (date(""t1"".""end_date"") >= '2025-12-31')))) AND (LOWER(""t1"".""policy_type"") LIKE '%annual%'))"
"Who is taking annual leave during the Christmas holidays?","Who is taking annual leave during the festive season this year?","SELECT ""t1"".""id"", ""t1"".""employee_id"", ""t1"".""policy_type"", ""t1"".""start_date"", ""t1"".""end_date"", ""t1"".""type"", ""t1"".""status"", ""t1"".""created_at"", ""t1"".""updated_at"", ""t2"".""id"", ""t2"".""updated_at"", ""t2"".""full_name"", ""t2"".""nationality"", ""t2"".""department"", ""t2"".""is_manager"", ""t2"".""location"", ""t2"".""linkedin"", ""t2"".""twitter_x"", ""t2"".""facebook"", ""t2"".""email"", ""t2"".""is_active"", ""t2"".""reports_to_id"", ""t2"".""birth_date"", ""t2"".""client"" FROM ""time_off"" AS ""t1"" INNER JOIN ""employees"" AS ""t2"" ON (""t1"".""employee_id"" = ""t2"".""id"") WHERE ((((""t2"".""is_active"" = 1) AND (date(""t1"".""start_date"") > date('now'))) AND ((((date(""t1"".""start_date"") >= '2025-12-25') AND (date(""t1"".""start_date"") <= '2025-12-31')) OR ((date(""t1"".""end_date"") >= '2025-12-25') AND (date(""t1"".""end_date"") <= '2025-12-31'))) OR ((date(""t1"".""start_date"") <= '2025-12-25') AND (date(""t1"".""end_date"") >= '2025-12-31')))) AND (LOWER(""t1"".""policy_type"") LIKE '%annual%'))"
"Who is taking annual leave during the Christmas holidays?","List all employees who have requested annual leave over the Christmas break.","SELECT ""t1"".""id"", ""t1"".""employee_id"", ""t1"".""policy_type"", ""t1"".""start_date"", ""t1"".""end_date"", ""t1"".""type"", ""t1"".""status"", ""t1"".""created_at"", ""t1"".""updated_at"", ""t2"".""id"", ""t2"".""updated_at"", ""t2"".""full_name"", ""t2"".""nationality"", ""t2"".""department"", ""t2"".""is_manager"", ""t2"".""location"", ""t2"".""linkedin"", ""t2"".""twitter_x"", ""t2"".""facebook"", ""t2"".""email"", ""t2"".""is_active"", ""t2"".""reports_to_id"", ""t2"".""birth_date"", ""t2"".""client"" FROM ""time_off"" AS ""t1"" INNER JOIN ""employees"" AS ""t2"" ON (""t1"".""employee_id"" = ""t2"".""id"") WHERE ((((""t2"".""is_active"" = 1) AND (date(""t1"".""start_date"") > date('now'))) AND ((((date(""t1"".""start_date"") >= '2025-12-25') AND (date(""t1"".""start_date"") <= '2025-12-31')) OR ((date(""t1"".""end_date"") >= '2025-12-25') AND (date(""t1"".""end_date"") <= '2025-12-31'))) OR ((date(""t1"".""start_date"") <= '2025-12-25') AND (date(""t1"".""end_date"") >= '2025-12-31')))) AND (LOWER(""t1"".""policy_type"") LIKE '%annual%'))"
"Who is taking annual leave during the Christmas holidays?","Who will be away on annual leave during the holidays?","SELECT ""t1"".""id"", ""t1"".""employee_id"", ""t1"".""policy_type"", ""t1"".""start_date"", ""t1"".""end_date"", ""t1"".""type"", ""t1"".""status"", ""t1"".""created_at"", ""t1"".""updated_at"", ""t2"".""id"", ""t2"".""updated_at"", ""t2"".""full_name"", ""t2"".""nationality"", ""t2"".""department"", ""t2"".""is_manager"", ""t2"".""location"", ""t2"".""linkedin"", ""t2"".""twitter_x"", ""t2"".""facebook"", ""t2"".""email"", ""t2"".""is_active"", ""t2"".""reports_to_id"", ""t2"".""birth_date"", ""t2"".""client"" FROM ""time_off"" AS ""t1"" INNER JOIN ""employees"" AS ""t2"" ON (""t1"".""employee_id"" = ""t2"".""id"") WHERE ((((""t2"".""is_active"" = 1) AND (date(""t1"".""start_date"") > date('now'))) AND ((((date(""t1"".""start_date"") >= '2025-12-25') AND (date(""t1"".""start_date"") <= '2025-12-31')) OR ((date(""t1"".""end_date"") >= '2025-12-25') AND (date(""t1"".""end_date"") <= '2025-12-31'))) OR ((date(""t1"".""start_date"") <= '2025-12-25') AND (date(""t1"".""end_date"") >= '2025-12-31')))) AND (LOWER(""t1"".""policy_type"") LIKE '%annual%'))"
